sumo,me
2624.722222222222,5859.999999999998
2624.722222222222,5859.999999999998
2763.4888888888886,5416.675095150348
2763.4888888888886,5416.675095150348
2917.9555555555553,4999.370386921398
2917.9555555555553,4999.370386921398
3088.1222222222227,4608.085875313142
3088.1222222222227,4608.085875313142
2624.722222222222,5859.999999999998
2624.722222222222,5859.999999999998
3273.988888888889,4242.821560325589
3273.988888888889,4242.821560325589
2763.4888888888886,5416.675095150348
2763.4888888888886,5416.675095150348
3475.5555555555557,3903.577441958732
3475.5555555555557,3903.577441958732
2917.9555555555553,4999.370386921398
2917.9555555555553,4999.370386921398
3692.822222222222,3590.3535202125736
3692.822222222222,3590.3535202125736
3088.1222222222227,4608.085875313142
3088.1222222222227,4608.085875313142
3925.7888888888883,3303.1497950871153
3925.7888888888883,3303.1497950871153
3273.988888888889,4242.821560325589
3273.988888888889,4242.821560325589
4174.455555555555,3041.9662665823553
4174.455555555555,3041.9662665823553
3475.5555555555557,3903.577441958732
3475.5555555555557,3903.577441958732
0.0,3248.8314736565094
4438.822222222221,2806.8029346982935
3692.822222222222,3590.3535202125736
3692.822222222222,3590.3535202125736
0.0,4195.883748416168
3925.7888888888883,3303.1497950871153
3925.7888888888883,3303.1497950871153
3503.739758763196,3860.124050188435
4174.455555555555,3041.9662665823553
4174.455555555555,3041.9662665823553
3723.10884598347,3550.384548581402
4438.822222222221,2806.8029346982935
0.0,3248.8314736565094
3958.1779332037427,3266.6652435950673
0.0,4165.122936862569
4208.947020424014,3008.9661352294315
3522.518581294824,3831.665769406668
4475.416107644291,2777.2872234844936
3743.2769636708854,3524.2287985714675
4757.585194864563,2571.628508360255
3979.735346046946,3242.8120243569656
4231.893728423004,2987.4154467631606
4499.752110799066,2758.039065790055
4783.310493175127,2554.6828814376477
